Rank	Feature Name	Feature Importance
0	V17	0.715761411234
1	V27	0.0827720571735
2	V10	0.0811850721827
3	V14	0.0768377090785
4	V7	0.0116218223458
5	V2	0.00710842393001
6	V16	0.00562570885128
7	V11	0.00466191914899
8	V6	0.00439651734468
9	V9	0.00324933369048
10	V21	0.00287736630364
11	V8	0.00159270515461
12	V4	0.000705344432263
13	V18	0.000382178785853
14	V12	0.000247463477802
15	V25	0.000247365427351
16	V22	0.000202470118201
17	V24	0.000184439077434
18	V5	0.000129512221324
19	V26	6.88147257893e-05
20	V15	5.496971524e-05
21	V_Time	2.52304558213e-05
22	V20	2.25784388932e-05
23	V13	2.03872327681e-05
24	V19	1.29193264202e-05
25	V23	6.28012690464e-06
26	V29	0.0
27	V28	0.0
28	V1	0.0
29	V3	0.0
30	V30	0.0
